timestamp,open,high,low,close
2025-03-05,0.90290,0.90437,0.90132,0.90380
2025-03-04,0.90090,0.90529,0.90032,0.90270
2025-03-03,0.89993,0.90310,0.89979,0.90180
2025-02-28,0.90250,0.90303,0.90037,0.90110
2025-02-27,0.90270,0.90363,0.90150,0.90273
2025-02-26,0.90150,0.90362,0.90098,0.90305
2025-02-25,0.90250,0.90335,0.90120,0.90210
2025-02-24,0.90200,0.90361,0.89981,0.90264
2025-02-21,0.90030,0.90305,0.89922,0.90270
2025-02-20,0.89910,0.90081,0.89760,0.89990
2025-02-19,0.89770,0.90036,0.89440,0.89860
2025-02-18,0.90240,0.90250,0.89670,0.89750
2025-02-17,0.90110,0.90263,0.89969,0.90190
2025-02-14,0.89860,0.90233,0.89574,0.90115
2025-02-13,0.89780,0.89942,0.89649,0.89828
2025-02-12,0.89810,0.89900,0.89700,0.89805
2025-02-11,0.89770,0.89950,0.89671,0.89797
2025-02-10,0.90350,0.90380,0.89683,0.89817
2025-02-07,0.90310,0.90420,0.90108,0.90116
2025-02-06,0.90450,0.90527,0.90146,0.90283
2025-02-05,0.90330,0.90562,0.90177,0.90451
2025-02-04,0.90480,0.90506,0.90167,0.90312
2025-02-03,0.90700,0.90750,0.90313,0.90352
2025-01-31,0.90700,0.90813,0.90422,0.90680
2025-01-30,0.90790,0.90800,0.90580,0.90715
2025-01-29,0.90610,0.90822,0.90473,0.90766
2025-01-28,0.90360,0.90647,0.90315,0.90600
2025-01-27,0.90278,0.90515,0.90219,0.90434
2025-01-24,0.90290,0.90472,0.90164,0.90334
2025-01-23,0.90280,0.90363,0.90190,0.90269
2025-01-22,0.90570,0.90570,0.90170,0.90268
2025-01-21,0.90470,0.90540,0.90214,0.90501
2025-01-20,0.89926,0.90458,0.89926,0.90365
2025-01-17,0.90190,0.90341,0.90030,0.90080
2025-01-16,0.90230,0.90375,0.90030,0.90210
2025-01-15,0.90410,0.90560,0.90110,0.90130
2025-01-14,0.90400,0.90711,0.90178,0.90420
2025-01-13,0.90125,0.90500,0.90116,0.90350
2025-01-10,0.90220,0.90414,0.90120,0.90338
2025-01-09,0.90220,0.90373,0.90109,0.90362
2025-01-08,0.90390,0.90545,0.90160,0.90210
2025-01-07,0.90290,0.90529,0.90193,0.90403
2025-01-06,0.90340,0.90370,0.90113,0.90331
2025-01-03,0.90140,0.90281,0.90027,0.90198
2025-01-02,0.90097,0.90490,0.90097,0.90164
2025-01-01,0.90340,0.90365,0.90240,0.90278
2024-12-31,0.90600,0.90673,0.90182,0.90337
2024-12-30,0.90500,0.90816,0.90300,0.90612
2024-12-27,0.90310,0.90706,0.90192,0.90540
2024-12-26,0.90020,0.90620,0.90020,0.90340
2024-12-25,0.90540,0.90710,0.89975,0.90530
2024-12-24,0.90360,0.90670,0.90221,0.90530
2024-12-23,0.89983,0.90547,0.89983,0.90340
2024-12-20,0.90190,0.90431,0.90138,0.90390
2024-12-19,0.90400,0.90629,0.90190,0.90222
2024-12-18,0.90810,0.90916,0.90400,0.90421
2024-12-17,0.90740,0.90851,0.90595,0.90781
2024-12-16,0.90620,0.90837,0.90488,0.90734
2024-12-13,0.90580,0.90640,0.90241,0.90465
2024-12-12,0.90750,0.90830,0.90370,0.90561
2024-12-11,0.90880,0.91005,0.90760,0.90785
2024-12-10,0.91050,0.91252,0.90840,0.90911
2024-12-09,0.91320,0.91320,0.90790,0.91039
2024-12-06,0.91160,0.91371,0.90990,0.91220
2024-12-05,0.90920,0.91225,0.90866,0.91170
2024-12-04,0.90690,0.91106,0.90579,0.90930
2024-12-03,0.90820,0.90890,0.90610,0.90630
2024-12-02,0.90742,0.91042,0.90630,0.90870
2024-11-29,0.90660,0.90959,0.90479,0.90760
2024-11-28,0.90670,0.90821,0.90480,0.90576
2024-11-27,0.90070,0.90948,0.89977,0.90700
2024-11-26,0.89840,0.90191,0.89715,0.90074
2024-11-25,0.89556,0.89989,0.89409,0.89839
2024-11-22,0.89880,0.89988,0.89400,0.89681
2024-11-21,0.90280,0.90309,0.89930,0.89953
2024-11-20,0.90450,0.90518,0.90270,0.90297
2024-11-19,0.90500,0.90643,0.90380,0.90470
2024-11-18,0.90608,0.90770,0.90420,0.90514
2024-11-15,0.90560,0.90785,0.90513,0.90740
2024-11-14,0.90590,0.90750,0.90460,0.90580
2024-11-13,0.90660,0.90902,0.90574,0.90628
2024-11-12,0.90650,0.90914,0.90539,0.90660
2024-11-11,0.90502,0.90724,0.90126,0.90670
2024-11-08,0.90180,0.90698,0.90094,0.90574
2024-11-07,0.90360,0.90476,0.90130,0.90159
2024-11-06,0.90480,0.90825,0.90286,0.90338
2024-11-05,0.90670,0.90720,0.90260,0.90446
2024-11-04,0.90621,0.90928,0.90562,0.90664
2024-11-01,0.90769,0.91005,0.90640,0.90860
2024-10-31,0.90837,0.91002,0.90710,0.90760
2024-10-30,0.90973,0.91187,0.90715,0.90818
2024-10-29,0.90747,0.91038,0.90747,0.90983
2024-10-28,0.90335,0.90844,0.90335,0.90760
2024-10-25,0.90540,0.90583,0.90390,0.90460
2024-10-24,0.90430,0.90634,0.90400,0.90518
2024-10-23,0.90400,0.90584,0.90330,0.90404
2024-10-22,0.90497,0.90628,0.90346,0.90353
2024-10-21,0.90500,0.90653,0.90390,0.90486
2024-10-18,0.90399,0.90564,0.90265,0.90470
2024-10-17,0.90804,0.90930,0.90396,0.90408
2024-10-16,0.90416,0.90962,0.90380,0.90800
2024-10-15,0.90560,0.90820,0.90353,0.90384
2024-10-14,0.90403,0.90621,0.90330,0.90565
2024-10-11,0.90357,0.90527,0.90335,0.90480
2024-10-10,0.90209,0.90482,0.90193,0.90360
2024-10-09,0.90941,0.91033,0.90120,0.90210
2024-10-08,0.90580,0.91032,0.90568,0.90938
2024-10-07,0.90453,0.90661,0.90410,0.90574
2024-10-04,0.90746,0.90842,0.90460,0.90560
2024-10-03,0.90907,0.90991,0.90660,0.90754
2024-10-02,0.91183,0.91416,0.90804,0.90903
2024-10-01,0.91707,0.91770,0.91070,0.91178
2024-09-30,0.91732,0.91981,0.91640,0.91711
2024-09-27,0.91703,0.91915,0.91500,0.91810
2024-09-26,0.91697,0.91790,0.91430,0.91694
2024-09-25,0.91871,0.92125,0.91710,0.91711
2024-09-24,0.91590,0.92044,0.91340,0.91867
2024-09-23,0.91580,0.91706,0.91330,0.91596
2024-09-20,0.91495,0.91673,0.91400,0.91590
2024-09-19,0.91721,0.91868,0.91337,0.91486
2024-09-18,0.91439,0.91934,0.91412,0.91742
2024-09-17,0.91760,0.91824,0.91429,0.91447
2024-09-16,0.91755,0.91903,0.91680,0.91775
2024-09-13,0.91922,0.92129,0.91740,0.91780
2024-09-12,0.91868,0.92072,0.91695,0.91908
2024-09-11,0.92343,0.92435,0.91736,0.91869
2024-09-10,0.92201,0.92540,0.92150,0.92350
2024-09-09,0.92450,0.92562,0.92060,0.92199
2024-09-06,0.92261,0.92598,0.92160,0.92520
2024-09-05,0.92113,0.92411,0.91930,0.92254
2024-09-04,0.92119,0.92278,0.91982,0.92124
2024-09-03,0.91742,0.92205,0.91660,0.92096
2024-09-02,0.92252,0.92325,0.91660,0.91770
2024-08-30,0.91986,0.92382,0.91870,0.92340
2024-08-29,0.91938,0.92582,0.91848,0.91976
2024-08-28,0.91973,0.92104,0.91610,0.91954
2024-08-27,0.91572,0.92047,0.91540,0.91954
2024-08-26,0.91590,0.91754,0.91452,0.91555
2024-08-23,0.91463,0.91734,0.91400,0.91700
2024-08-22,0.91210,0.91576,0.91180,0.91473
2024-08-21,0.91156,0.91389,0.91010,0.91240
2024-08-20,0.90728,0.91245,0.90725,0.91180
2024-08-19,0.90607,0.91025,0.90590,0.90705
2024-08-16,0.90497,0.90963,0.90400,0.90740
2024-08-15,0.90939,0.91030,0.90429,0.90453
2024-08-14,0.91518,0.91653,0.90530,0.90608
2024-08-13,0.91320,0.91701,0.91295,0.91498
2024-08-12,0.91138,0.91416,0.91111,0.91299
2024-08-09,0.91164,0.91499,0.91050,0.91220
2024-08-08,0.91845,0.91986,0.91040,0.91154
2024-08-07,0.91246,0.91963,0.91229,0.91868
2024-08-06,0.91329,0.91483,0.90800,0.91235
2024-08-05,0.91366,0.92188,0.91230,0.91323
2024-08-02,0.91433,0.91605,0.91220,0.91460
2024-08-01,0.90912,0.91599,0.90850,0.91430
2024-07-31,0.90247,0.91117,0.90170,0.90921
2024-07-30,0.89655,0.90286,0.89640,0.90211
2024-07-29,0.89852,0.89908,0.89585,0.89684
2024-07-26,0.89985,0.90037,0.89750,0.89850
2024-07-25,0.90052,0.90587,0.89930,0.89980
2024-07-24,0.89978,0.90120,0.89750,0.90055
2024-07-23,0.89966,0.90050,0.89850,0.89991
2024-07-22,0.89825,0.90095,0.89796,0.89949
2024-07-19,0.90071,0.90163,0.89810,0.89870
2024-07-18,0.90320,0.90379,0.90020,0.90040
2024-07-17,0.89784,0.90372,0.89777,0.90308
2024-07-16,0.89787,0.90043,0.89700,0.89820
2024-07-15,0.90196,0.90196,0.89759,0.89806
2024-07-12,0.90122,0.90263,0.89900,0.90150
2024-07-11,0.90056,0.90253,0.89953,0.90120
2024-07-10,0.90808,0.90964,0.90010,0.90099
2024-07-09,0.90862,0.90948,0.90710,0.90822
2024-07-08,0.90969,0.91060,0.90815,0.90861
2024-07-05,0.90891,0.91041,0.90770,0.90990
2024-07-04,0.90934,0.91038,0.90837,0.90910
2024-07-03,0.91100,0.91214,0.90920,0.90954
2024-07-02,0.91175,0.91181,0.90960,0.91078
2024-07-01,0.91178,0.91489,0.91070,0.91166
2024-06-28,0.91457,0.91579,0.91190,0.91320
2024-06-27,0.91444,0.91664,0.91280,0.91434
2024-06-26,0.91970,0.92132,0.91276,0.91446
2024-06-25,0.91958,0.92098,0.91810,0.92000
2024-06-24,0.92019,0.92148,0.91909,0.91976
2024-06-21,0.91897,0.92159,0.91800,0.92080
2024-06-20,0.91799,0.92122,0.91721,0.91908
2024-06-19,0.92235,0.92269,0.91720,0.91845
2024-06-18,0.92636,0.92733,0.92160,0.92221
2024-06-17,0.92626,0.92839,0.92472,0.92659
2024-06-14,0.92896,0.92930,0.92640,0.92800
2024-06-13,0.92809,0.92986,0.92710,0.92894
2024-06-12,0.92934,0.93003,0.92637,0.92804
2024-06-11,0.92665,0.93011,0.92651,0.92906
2024-06-10,0.92720,0.92799,0.92570,0.92623
2024-06-07,0.92900,0.92962,0.92650,0.92650
2024-06-06,0.93101,0.93137,0.92872,0.92906
2024-06-05,0.92848,0.93129,0.92780,0.93080
2024-06-04,0.92488,0.92950,0.92440,0.92860
2024-06-03,0.92227,0.92580,0.92227,0.92520
2024-05-31,0.92150,0.92423,0.92113,0.92290
2024-05-30,0.92452,0.92502,0.91966,0.92138
2024-05-29,0.92310,0.92485,0.92130,0.92447
2024-05-28,0.92360,0.92526,0.92042,0.92273
2024-05-27,0.92274,0.92428,0.92216,0.92353
2024-05-24,0.92305,0.92416,0.92230,0.92300
2024-05-23,0.92048,0.92355,0.92030,0.92305
2024-05-22,0.91341,0.92100,0.91330,0.92022
